Year,UniqueCarrier,Origin,Dest,count
2008,WN,MHT,LAS,1
2008,WN,SDF,PHX,1
1991,US,MDW,PIT,22
1992,US,IND,CMH,24
1994,US,LGA,MIA,31
2003,UA,EWR,DEN,6
2006,US,STL,PHX,3
2007,WN,BNA,TPA,5
2008,WN,SDF,MCO,2
1991,US,AVP,PIT,24
1992,US,PIT,CMH,25
1993,US,IND,DCA,3
2000,WN,AUS,PHX,122
2001,US,MHT,PIT,31
2007,WN,BNA,AUS,3
2007,WN,BWI,LIT,1
2007,WN,DTW,PHX,2
2008,WN,MCO,CMH,3
2008,WN,MCO,RDU,4
2008,WN,MDW,RSW,3
2008,WN,ORF,LAS,1
1988,PS,MRY,LAX,2
1992,US,BWI,MCO,31
1992,US,SAN,PIT,61
1993,US,BDL,PIT,29
2001,US,TPA,PHL,26
2003,UA,LAS,LAX,6
2004,UA,ORD,BUF,25
2004,UA,LAS,ORD,25
2006,US,CLT,BWI,16
2006,US,CLT,CLE,2
2006,US,DCA,MHT,4
2006,US,ORD,DCA,1
2007,WN,BNA,CMH,2
2008,WN,JAX,FLL,6
2008,WN,LAS,ABQ,7
2008,WN,RSW,ISP,1
2008,WN,SEA,SMF,5
1990,US,PIT,CMH,31
1993,US,PIT,DTW,22
2000,HP,COS,PHX,88
2003,UA,TPA,ORD,25
2006,US,ORF,CLT,3
2006,US,PHX,SAN,8
2007,WN,FLL,HOU,2
2008,WN,LAS,CLE,1
2008,WN,RDU,PHX,1
1988,PI,ISP,SYR,26
1989,UA,ORD,BTV,29
1991,US,RNO,SFO,7
1991,US,PIT,BNA,29
1992,US,CLE,BOS,31
1999,US,SYR,PHL,123
2006,US,LAX,CLT,4
2007,WN,AMA,ABQ,2
2007,WN,BHM,BNA,2
2007,WN,BWI,HOU,4
2007,WN,HOU,LAS,4
2007,WN,MCI,LAS,6
1990,US,PHL,CMH,30
1992,US,LGA,CLE,28
2004,UA,BDL,IAD,25
2006,US,MSY,PHL,1
2006,US,PBI,CLT,5
2007,WN,BNA,JAX,4
2007,WN,CLE,BWI,5
2007,WN,ISP,FLL,3
2007,WN,LAS,SAN,14
2008,WN,SAN,BWI,2
2008,WN,SAN,SAT,1
2008,WN,SAN,SMF,14
1990,US,PIT,ABQ,29
1991,US,BUF,JFK,31
1991,US,PIT,AVP,31
1992,US,IND,LAX,56
1993,US,PIT,CLE,4
1994,US,PHL,STL,26
2003,UA,DEN,PDX,31
2004,UA,ORD,PHX,25
2005,UA,ORD,MSP,31
2006,US,CLT,IND,4
2006,US,MCO,PIT,4
2007,WN,BWI,MDW,8
2007,WN,HOU,OKC,4
2007,WN,MCI,BWI,3
2008,WN,IND,MCO,2
2008,WN,MSY,BNA,2
1988,PS,SJC,LAX,39
1991,US,BWI,IND,30
1991,US,MDT,PIT,6
1991,US,DTW,BWI,21
1992,US,BWI,ORF,4
1994,US,PHL,ALB,26
2002,US,BWI,PIT,9
2003,UA,PHX,SFO,50
2006,US,PHL,ROC,1
2006,US,SFO,LAS,7
2007,WN,BOI,LAS,2
2007,WN,CLE,BNA,4
2007,WN,CRP,HOU,6
2007,WN,LAS,CLE,1
2007,WN,LIT,LAS,1
2007,WN,MDW,BWI,8
2008,WN,LAS,LAX,14
2008,WN,LAX,SAT,1
2008,WN,PVD,BNA,1
2008,WN,SAN,ELP,1
1989,UA,MCO,ORD,53
1993,US,LAX,PHL,31
2003,UA,DEN,TUL,62
2005,UA,DFW,DEN,26
2005,UA,OMA,DEN,14
2006,US,LAX,LAS,9
2006,US,MSP,PHX,4
2006,US,ORD,PHL,7
2006,US,RIC,CLT,4
2007,WN,ABQ,SEA,1
2007,WN,HOU,MSY,9
2007,WN,JAN,MCO,1
2007,WN,MCI,OKC,4
2008,WN,LAS,DEN,7
2008,WN,LAS,TPA,1
2008,WN,OAK,PDX,6
1994,US,PIT,MCO,28
1997,DL,CVG,PHX,124
2003,UA,ATL,DEN,6
2004,UA,PHX,SFO,31
2006,US,BOS,FLL,2
2006,US,JAX,DCA,3
2006,US,JAX,PHL,4
2006,US,PHL,CLT,10
2007,WN,SMF,SAN,13
2008,WN,LIT,HOU,1
2008,WN,PHX,ELP,7
1987,PS,SAN,OAK,109
1992,US,MCO,BWI,30
1994,US,TPA,PIT,31
2004,UA,ORD,BWI,31
2006,US,DFW,PHX,10
2007,WN,BDL,BWI,9
2007,WN,BWI,MCI,3
2008,WN,LAS,BUR,13
1988,PI,JFK,UCA,30
1990,US,PHL,ALB,29
1991,US,TPA,SYR,31
1992,US,PIT,SYR,22
2001,US,GSO,PHL,31
2001,US,BOS,PHL,31
2004,UA,BWI,DEN,6
2006,US,BUF,DCA,6
2006,US,ATL,DCA,3
2007,WN,TPA,ABQ,1
2007,WN,BWI,ALB,7
2007,WN,CMH,LAS,2
2007,WN,MDW,ABQ,2
2008,WN,PDX,LAS,4
1991,US,EWR,CLT,24
1991,US,BUF,EWR,26
1994,US,CVG,PIT,26
2006,US,BUR,PHX,6
2006,US,PHL,RDU,4
2007,WN,TPA,AUS,1
1988,PI,LGA,GSO,56
1988,PI,BWI,RIC,26
1992,US,PHL,BDL,30
1994,US,IAH,PHL,30
2002,US,DTW,CLT,31
2006,US,MSP,LAS,2
2006,US,SNA,LAS,6
2007,WN,TPA,BUF,1
2007,WN,JAX,BHM,1
2008,WN,OAK,ABQ,3
2008,WN,OMA,STL,4
2008,WN,PDX,GEG,4
2008,WN,SDF,BHM,2
2008,WN,SDF,STL,3
1987,PS,LAX,SAN,3
1994,US,PHL,GSO,22
2002,US,ROC,PHL,31
2003,UA,SAN,SFO,25
2003,UA,LAS,ORD,25
2004,UA,DEN,IAD,25
2006,US,BWI,PHX,6
2006,US,CLT,CHS,6
2006,US,MCI,CLT,1
2006,US,ABQ,LAS,1
2007,WN,BHM,LAS,1
2007,WN,BOI,SEA,3
2007,WN,MCI,DAL,6
2008,WN,RNO,SAN,2
2008,WN,RSW,MDW,3
1992,US,PIT,PHL,26
1992,US,MCI,SFO,2
2005,UA,IAD,DEN,4
2006,US,EYW,FLL,6
2006,US,MSY,CLT,2
2007,WN,BOI,RNO,3
2007,WN,MCI,TUL,3
2008,WN,JAN,MCO,1
2008,WN,LAS,CMH,2
1990,US,LGA,CLE,28
1991,US,CLE,CLT,24
1994,US,SWF,PIT,25
1998,WN,BUR,PHX,210
1999,US,SFO,PHL,119
2001,US,LGA,PIT,27
2001,US,BUF,LGA,27
2001,US,PIT,SBN,31
2006,US,CLT,PHL,20
2006,US,MSY,DCA,1
2006,US,PHL,IAH,2
2007,WN,TUS,LAX,5
2008,WN,JAX,IND,1
2008,WN,PHL,HOU,2
1992,US,IND,LGA,6
1993,US,CRW,PIT,31
1993,US,SFO,PIT,60
1994,US,EWR,RDU,27
1995,US,PVD,PHL,124
2001,US,CLT,FAY,27
2001,US,MEM,CLT,28
2001,US,CMH,LGA,27
2002,US,CLT,GSO,26
2004,UA,BOS,IAD,25
2006,US,DCA,MCO,12
2006,US,PHL,BDL,4
2006,US,PHL,DEN,2
2006,US,TPA,DCA,4
2007,WN,ABQ,SAN,3
2007,WN,AUS,ELP,4
2007,WN,MCO,HOU,3
2008,WN,RDU,PHL,6
1988,PS,SAN,SFO,29
1990,US,SFO,MCI,31
1990,US,ABE,PIT,58
1994,US,CLT,IND,26
2000,DL,CVG,PHX,124
2006,US,PHX,DCA,3
2007,WN,STL,TPA,1
2007,WN,MCO,JAN,1
2008,WN,JAN,BWI,2
2008,WN,OKC,DEN,2
1987,PS,SJC,LAX,46
1988,PI,BWI,SYR,29
2004,UA,PBI,ORD,10
2004,UA,PHX,DEN,25
2004,UA,DEN,GEG,25
2006,US,CLT,DEN,6
2007,WN,TUS,SAN,2
2007,WN,LAS,PHL,2
2008,WN,MCI,IND,2
2008,WN,MDW,LAX,7
1998,HP,CLE,PHX,31
2005,UA,ORD,SEA,31
2006,US,GEG,PHX,1
2007,WN,BNA,DTW,3
2007,WN,CLE,LAS,1
2007,WN,ELP,SAN,1
2007,WN,ISP,RSW,1
1990,US,PHX,BUR,30
1994,US,CAE,CLT,26
1996,WN,AUS,PHX,92
2003,UA,PDX,LAX,6
2006,US,TPA,LAS,1
2006,US,CLT,SEA,1
2007,WN,DTW,MDW,8
2007,WN,HRL,AUS,1
2008,WN,IND,TPA,1
2008,WN,MSY,MDW,1
2008,WN,OAK,RNO,4
2008,WN,OMA,MDW,6
1990,US,CLE,IND,29
1993,US,BOS,CLE,44
1994,US,IND,BWI,31
1994,US,ERI,PIT,30
1996,HP,BUR,PHX,124
2003,UA,BUF,ORD,25
