Year,Origin,Dest,count
1989,PHL,DEN,2
2002,SFO,PIT,5
2003,PIT,ORD,10
2004,SMF,DEN,9
2007,DTW,BNA,3
2007,LAS,BUF,1
2008,MCO,RSW,4
1991,SYR,EWR,14
2000,CLT,PHX,21
2001,BWI,CLT,4
2002,PIT,PVD,2
2003,BOS,IAD,7
2006,LAS,RNO,1
2006,PHX,ONT,2
2007,BNA,MDW,6
2008,PVD,BNA,1
1989,DEN,LAX,21
1990,TYS,PIT,17
1992,IND,DCA,16
1999,STL,PHL,96
2003,ORD,PHL,2
2004,BWI,ORD,5
2006,DFW,PHL,5
2008,ORF,MCO,2
2008,SAN,SMF,10
1989,IAD,LAX,19
1991,EWR,CLT,15
1992,BUF,PIT,22
2001,BUF,LGA,11
2007,BUR,OAK,6
2007,HOU,JAN,2
2008,PHX,PDX,2
2003,PHX,ORD,3
2005,BOI,DEN,2
2005,OMA,DEN,1
2007,MDW,ALB,2
2008,MSY,HOU,6
2008,OKC,MCI,1
1988,LAS,BUR,26
1988,LAS,SAN,22
1989,SFO,HNL,36
1992,STL,CLT,2
1993,EWR,BOS,13
1995,PVD,PHL,56
2002,CLT,MYR,2
2004,SAN,ORD,9
2004,DEN,OAK,13
2004,ABQ,DEN,5
2006,PIT,MIA,1
2006,FLL,LAS,1
2007,BWI,AUS,1
2007,CMH,BWI,3
2007,MCO,RSW,2
2008,LAS,SAN,13
1988,ORF,BWI,9
1994,BOS,DCA,17
2002,CLT,AVL,10
2004,CMH,DEN,5
2006,BUF,PHL,2
2007,STL,MCO,1
2007,ABQ,LBB,1
2007,BWI,DTW,2
2007,LAX,BWI,2
2007,MCO,BWI,8
2008,LIT,DAL,5
1991,TPA,LAX,23
1993,BOS,CLE,17
1993,IND,LAS,26
1995,RSW,PHL,63
2001,CLT,ILM,9
2002,CLT,FLL,2
2007,AUS,DAL,6
2008,MDW,LAX,6
1987,SFO,LAX,88
1988,BUR,SFO,38
1992,PIT,PVD,33
1994,CAE,CLT,7
2001,PHL,PIT,24
2006,CLT,LAS,2
2006,FLL,CLT,3
2007,FLL,JAX,4
2007,LAX,ELP,3
2008,MDW,PIT,6
2008,MDW,SDF,5
1989,EWR,ORD,25
1991,PIT,BGM,19
1994,PIT,MDW,16
2003,DEN,MSY,2
2003,SEA,DEN,2
2006,DEN,PHL,4
